Name,Abbreviation,Type,Formula,PCO2 [kPa],Temp [K],CA [M],α [molCO2 molamine-1],References
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,6.688,303.15,0.77397583647439,0.709,Dey et al (2019)
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,50.339,303.15,0.77397583647439,1.029,Dey et al (2019)
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,129.187,303.15,0.77397583647439,1.167,Dey et al (2019)
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,173.162,303.15,0.77397583647439,1.249,Dey et al (2019)
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,205.319,303.15,0.77397583647439,1.322,Dey et al (2019)
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,5.343,303.15,1.1609637547116,0.51,Dey et al (2019)
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,10.59,303.15,1.1609637547116,0.795,Dey et al (2019)
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,28.165,303.15,1.1609637547116,1.016,Dey et al (2019)
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,75.036,303.15,1.1609637547116,1.182,Dey et al (2019)
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,118.714,303.15,1.1609637547116,1.273,Dey et al (2019)
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,161.544,303.15,1.1609637547116,1.293,Dey et al (2019)
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,4.033,303.15,1.5479516729488,0.286,Dey et al (2019)
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,7.612,303.15,1.5479516729488,0.558,Dey et al (2019)
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,17.416,303.15,1.5479516729488,0.785,Dey et al (2019)
1-(2-aminoethyl)piperazine,AEPZ,Polyamine,C6H15N3,63.259,303.15,1.5479516729488,0.983,Dey et al (2019)
