"T DMSO","P DMSO","T MIX","P MIX","RR1","RR2","PURITY","SIMRES"
"310","1","310","1","0.5","0.5","0.954229763","Warnings"
"310","1","310","1","0.5","0.75","0.954220319","Warnings"
"310","1","310","1","0.5","1","0.954221313","Warnings"
"310","1","310","1","0.5","1.25","0.954223506","Warnings"
"310","1","310","1","0.75","0.5","0.987431269","Warnings"
"310","1","310","1","0.75","0.75","0.987409129","Warnings"
"310","1","310","1","0.75","1","0.987408591","Warnings"
"310","1","310","1","0.75","1.25","0.98740816","Warnings"
"310","1","310","1","1","0.5","0.995121473","Warnings"
"310","1","310","1","1","0.75","0.995120356","Warnings"
"310","1","310","1","1","1","0.995120686","Warnings"
"310","1","310","1","1","1.25","0.995120681","Warnings"
"310","1","310","1","1.25","0.5","0.995779052","Warnings"
"310","1","310","1","1.25","0.75","0.995777987","Warnings"
"310","1","310","1","1.25","1","0.995778087","Warnings"
"310","1","310","1","1.25","1.25","0.995778142","Warnings"
"310","1","310","1.5","0.5","0.5","0.954257046","Warnings"
"310","1","310","1.5","0.5","0.75","0.954220931","Warnings"
"310","1","310","1.5","0.5","1","0.954217907","Warnings"
"310","1","310","1.5","0.5","1.25","0.954219988","Warnings"
"310","1","310","1.5","0.75","0.5","0.987431266","Warnings"
"310","1","310","1.5","0.75","0.75","0.987409019","Warnings"
"310","1","310","1.5","0.75","1","0.987408602","Warnings"
"310","1","310","1.5","0.75","1.25","0.987408425","Warnings"
"310","1","310","1.5","1","0.5","0.995121473","Warnings"
"310","1","310","1.5","1","0.75","0.995120356","Warnings"
"310","1","310","1.5","1","1","0.995120686","Warnings"
"310","1","310","1.5","1","1.25","0.995120678","Warnings"
"310","1","310","1.5","1.25","0.5","0.995779052","Warnings"
"310","1","310","1.5","1.25","0.75","0.995777987","Warnings"
"310","1","310","1.5","1.25","1","0.995778087","Warnings"
"310","1","310","1.5","1.25","1.25","0.995778142","Warnings"
"310","1","310","2","0.5","0.5","0.954257046","Warnings"
"310","1","310","2","0.5","0.75","0.954220932","Warnings"
"310","1","310","2","0.5","1","0.954217907","Warnings"
"310","1","310","2","0.5","1.25","0.954219986","Warnings"
"310","1","310","2","0.75","0.5","0.987431266","Warnings"
"310","1","310","2","0.75","0.75","0.987409019","Warnings"
"310","1","310","2","0.75","1","0.987408602","Warnings"
"310","1","310","2","0.75","1.25","0.987408425","Warnings"
"310","1","310","2","1","0.5","0.995121473","Warnings"
"310","1","310","2","1","0.75","0.995120356","Warnings"
"310","1","310","2","1","1","0.995120686","Warnings"
"310","1","310","2","1","1.25","0.995120678","Warnings"
"310","1","310","2","1.25","0.5","0.995779052","Warnings"
"310","1","310","2","1.25","0.75","0.995777987","Warnings"
"310","1","310","2","1.25","1","0.995778087","Warnings"
"310","1","310","2","1.25","1.25","0.995778142","Warnings"
"310","1","310","2.5","0.5","0.5","0.954257046","Warnings"
"310","1","310","2.5","0.5","0.75","0.954220932","Warnings"
"310","1","310","2.5","0.5","1","0.954217907","Warnings"
"310","1","310","2.5","0.5","1.25","0.954219986","Warnings"
"310","1","310","2.5","0.75","0.5","0.987431266","Warnings"
"310","1","310","2.5","0.75","0.75","0.987409019","Warnings"
"310","1","310","2.5","0.75","1","0.987408602","Warnings"
"310","1","310","2.5","0.75","1.25","0.987408425","Warnings"
"310","1","310","2.5","1","0.5","0.995121473","Warnings"
"310","1","310","2.5","1","0.75","0.995120356","Warnings"
"310","1","310","2.5","1","1","0.995120686","Warnings"
"310","1","310","2.5","1","1.25","0.995120678","Warnings"
"310","1","310","2.5","1.25","0.5","0.995779052","Warnings"
"310","1","310","2.5","1.25","0.75","0.995777987","Warnings"
"310","1","310","2.5","1.25","1","0.995778087","Warnings"
"310","1","310","2.5","1.25","1.25","0.995778142","Warnings"
"310","1","315","1","0.5","0.5","0.952928592","Warnings"
"310","1","315","1","0.5","0.75","0.952921633","Warnings"
"310","1","315","1","0.5","1","0.952921718","Warnings"
"310","1","315","1","0.5","1.25","0.952920878","Warnings"
"310","1","315","1","0.75","0.5","0.98659584","Warnings"
"310","1","315","1","0.75","0.75","0.986568056","Warnings"
"310","1","315","1","0.75","1","0.986567974","Warnings"
"310","1","315","1","0.75","1.25","0.986567905","Warnings"
"310","1","315","1","1","0.5","0.995062974","Warnings"
"310","1","315","1","1","0.75","0.995061748","Warnings"
"310","1","315","1","1","1","0.995061818","Warnings"
"310","1","315","1","1","1.25","0.995061895","Warnings"
"310","1","315","1","1.25","0.5","0.99576442","Warnings"
"310","1","315","1","1.25","0.75","0.995763315","Warnings"
"310","1","315","1","1.25","1","0.995763421","Warnings"
"310","1","315","1","1.25","1.25","0.995763477","Warnings"
"310","1","315","1.5","0.5","0.5","0.952976177","Warnings"
"310","1","315","1.5","0.5","0.75","0.952919762","Warnings"
"310","1","315","1.5","0.5","1","0.952924613","Warnings"
"310","1","315","1.5","0.5","1.25","0.952920284","Warnings"
"310","1","315","1.5","0.75","0.5","0.986591904","Warnings"
"310","1","315","1.5","0.75","0.75","0.986567574","Warnings"
"310","1","315","1.5","0.75","1","0.986568599","Warnings"
