Simulation status,Solvent,T(C) ,P(bar),RR-01,RR-02,Solvent flowrate (kmol/hr),Methanol purity,C-01 duty (kJ/hr),C-02 duty (kJ/hr)
Warnings,DMSO,30,1,0.25,0.25,600,0.885943219,-10257306.7,-12047071.4
Warnings,DMSO,30,1,0.25,0.25,650,0.903001455,-10228393.8,-12073224.7
Warnings,DMSO,30,1,0.25,0.25,720,0.926434925,-10188874.6,-12107959.1
Warnings,DMSO,30,1,0.25,0.25,770,0.942783706,-10161174.2,-12131298
Warnings,DMSO,30,1,0.25,0.25,830,0.960321597,-10128682.8,-12217665.3
Warnings,DMSO,30,1,0.25,0.5,600,0.885945439,-10257090.3,-14456468
Warnings,DMSO,30,1,0.25,0.5,650,0.903034632,-10228407.5,-14487928.5
Warnings,DMSO,30,1,0.25,0.5,720,0.92643589,-10188874.2,-14529528.8
Warnings,DMSO,30,1,0.25,0.5,770,0.942785361,-10161174,-14557475.7
Warnings,DMSO,30,1,0.25,0.5,830,0.961888127,-10128682.8,-14588821.5
Warnings,DMSO,30,1,0.25,0.75,600,0.885945445,-10257090.3,-16865896.1
Warnings,DMSO,30,1,0.25,0.75,650,0.903034642,-10228407.5,-16902578.8
Warnings,DMSO,30,1,0.25,0.75,720,0.926435909,-10188874.2,-16951109.1
Warnings,DMSO,30,1,0.25,0.75,770,0.94278539,-10161174,-16983715.5
Warnings,DMSO,30,1,0.25,0.75,830,0.961888181,-10128682.8,-17020284.4
Warnings,DMSO,30,1,0.25,1,600,0.885945446,-10257090.3,-19275302.6
Warnings,DMSO,30,1,0.25,1,650,0.903034644,-10228407.5,-19317231.6
Warnings,DMSO,30,1,0.25,1,720,0.926435913,-10188874.2,-19372694.5
Warnings,DMSO,30,1,0.25,1,770,0.942785396,-10161174,-19409959.2
Warnings,DMSO,30,1,0.25,1,830,0.961888193,-10128682.8,-19451751.7
Warnings,DMSO,30,1,0.25,1.25,600,0.885945447,-10257090.3,-21684712.9
Warnings,DMSO,30,1,0.25,1.25,650,0.903034645,-10228407.5,-21731885.5
Warnings,DMSO,30,1,0.25,1.25,720,0.926435915,-10188874.2,-21794281
Warnings,DMSO,30,1,0.25,1.25,770,0.942785398,-10161174,-21836203.8
Warnings,DMSO,30,1,0.25,1.25,830,0.961888196,-10128682.8,-21883220.2
Warnings,DMSO,30,1,0.5,0.25,600,0.92301075,-12218495.4,-12108906.2
Warnings,DMSO,30,1,0.5,0.25,650,0.940149904,-12184234.6,-12133422
Warnings,DMSO,30,1,0.5,0.25,720,0.963315457,-12137484.3,-12165079.8
Warnings,DMSO,30,1,0.5,0.25,770,0.978702803,-12106058.7,-12185109.5
Warnings,DMSO,30,1,0.5,0.25,830,0.989462271,-12079710.6,-12277173
Warnings,DMSO,30,1,0.5,0.5,600,0.922977366,-12218836,-14530608.8
Warnings,DMSO,30,1,0.5,0.5,650,0.940150639,-12184234.6,-14560100
Warnings,DMSO,30,1,0.5,0.5,720,0.963315992,-12137484.1,-14598071.2
Warnings,DMSO,30,1,0.5,0.5,770,0.978704784,-12106058.7,-14622035.1
Warnings,DMSO,30,1,0.5,0.5,830,0.991577375,-12079710.4,-14641225.3
Warnings,DMSO,30,1,0.5,0.75,600,0.922977372,-12218836,-16952397.9
Warnings,DMSO,30,1,0.5,0.75,650,0.940150649,-12184234.6,-16986779.4
Warnings,DMSO,30,1,0.5,0.75,720,0.963316012,-12137484.1,-17031082
Warnings,DMSO,30,1,0.5,0.75,770,0.978704816,-12106058.7,-17059036.2
Warnings,DMSO,30,1,0.5,0.75,830,0.991577433,-12079710.4,-17081423.6
Warnings,DMSO,30,1,0.5,1,600,0.922977373,-12218836,-19374163.5
Warnings,DMSO,30,1,0.5,1,650,0.940150652,-12184234.6,-19413461.2
Warnings,DMSO,30,1,0.5,1,720,0.963316017,-12137484.1,-19464085.9
Warnings,DMSO,30,1,0.5,1,770,0.978704824,-12106058.7,-19496039.6
Warnings,DMSO,30,1,0.5,1,830,0.991577444,-12079710.4,-19521624.9
Warnings,DMSO,30,1,0.5,1.25,600,0.922977374,-12218836,-21795931.5
Warnings,DMSO,30,1,0.5,1.25,650,0.940150653,-12184234.6,-21840143.9
Warnings,DMSO,30,1,0.5,1.25,720,0.963316018,-12137484.1,-21897096.5
Warnings,DMSO,30,1,0.5,1.25,770,0.978704826,-12106058.7,-21933044.4
Warnings,DMSO,30,1,0.5,1.25,830,0.991577448,-12079710.4,-21961827.5
Warnings,DMSO,30,1,0.75,0.25,600,0.959392177,-14167899.3,-12160424.9
Warnings,DMSO,30,1,0.75,0.25,650,0.975826729,-14128964.4,-12181989.7
Warnings,DMSO,30,1,0.75,0.25,720,0.991796509,-14090762.5,-12201954.7
Warnings,DMSO,30,1,0.75,0.25,770,0.99459819,-14083886.8,-12205405.1
Warnings,DMSO,30,1,0.75,0.25,830,0.993283926,-14081811.1,-12284789.5
Warnings,DMSO,30,1,0.75,0.5,600,0.959358236,-14168022.4,-14592434.3
Warnings,DMSO,30,1,0.75,0.5,650,0.975825975,-14128965.4,-14618379.3
Warnings,DMSO,30,1,0.75,0.5,720,0.991797742,-14090758.8,-14642319.3
Warnings,DMSO,30,1,0.75,0.5,770,0.994600493,-14083886.4,-14646369.5
Warnings,DMSO,30,1,0.75,0.5,830,0.995481527,-14081811.1,-14647627.1
Warnings,DMSO,30,1,0.75,0.75,600,0.959358233,-14168022.6,-17024526.6
Warnings,DMSO,30,1,0.75,0.75,650,0.975825988,-14128965.4,-17054771.2
Warnings,DMSO,30,1,0.75,0.75,720,0.991797763,-14090758.8,-17082702.2
Warnings,DMSO,30,1,0.75,0.75,770,0.994600526,-14083886.4,-17090634.5
Warnings,DMSO,30,1,0.75,0.75,830,0.995481585,-14081811.1,-17088896.3
Warnings,DMSO,30,1,0.75,1,600,0.959358235,-14168022.6,-19456601.4
Warnings,DMSO,30,1,0.75,1,650,0.97582599,-14128965.4,-19491166.6
Warnings,DMSO,30,1,0.75,1,720,0.991797768,-14090758.8,-19523086.9
Warnings,DMSO,30,1,0.75,1,770,0.994600534,-14083886.4,-19532153.3
Warnings,DMSO,30,1,0.75,1,830,0.995481597,-14081811.1,-19531313.8
Warnings,DMSO,30,1,0.75,1.25,600,0.959358235,-14168022.6,-21888674.8
Warnings,DMSO,30,1,0.75,1.25,650,0.975825991,-14128965.4,-21927562.6
Warnings,DMSO,30,1,0.75,1.25,720,0.99179777,-14090758.8,-21963472.4
Warnings,DMSO,30,1,0.75,1.25,770,0.994600536,-14083886.4,-21973672.3
Warnings,DMSO,30,1,0.75,1.25,830,0.995481601,-14081811.1,-21972727.8
Warnings,DMSO,30,1,1,0.25,600,0.989262903,-16109826.7,-12199048.7
Warnings,DMSO,30,1,1,0.25,650,0.993960186,-16096898.1,-12204767.3
Warnings,DMSO,30,1,1,0.25,720,0.995386411,-16093046.5,-12206489.4
