Simulation status;Solvent;Solvent temperature (K);Solvent pressure (bar);Reflux ratio col 1 (mole basis);Reflux ratio col 2 (mole basis);Solvent flowrate (kmol/hr);Mixture pressure (bar);Mixture temperature (K);Distillate rate col 1 (kmol/hr);Distillate rate col 2 (kmol/hr);Methanol purity (mole basis);Condensor 01 duty (kJ/hr);Condensor 02 duty (kJ/hr)
Warnings;DMSO;303.15;1;0.25;0.25;600;1;303.15;200;200;0.61269004;-7510142.55;-8292413.84
Warnings;DMSO;303.15;1;0.25;0.25;600;1;303.15;200;400;0.65484633;-7509913.36;-20677968.1
Warnings;DMSO;303.15;1;0.25;0.25;600;1;303.15;400;200;0.700294623;-15765271.5;-11271472.7
Warnings;DMSO;303.15;1;0.25;0.25;600;1;303.15;400;400;0.35014717;-15765230.8;-25129043.2
Warnings;DMSO;303.15;1;0.25;0.25;600;1;313.15;200;200;0.610273829;-7512996.49;-8288704.27
Warnings;DMSO;303.15;1;0.25;0.25;600;1;313.15;200;400;0.653620468;-7512995.31;-20676534.8
Warnings;DMSO;303.15;1;0.25;0.25;600;1;313.15;400;200;0.700293623;-15765277.7;-11271473.4
Warnings;DMSO;303.15;1;0.25;0.25;600;1;313.15;400;400;0.350146636;-15765228.3;-25129047.6
Warnings;DMSO;303.15;1;0.25;0.25;600;1;323.15;200;200;0.607658166;-7516445.56;-8284686.62
Warnings;DMSO;303.15;1;0.25;0.25;600;1;323.15;200;400;0.652275794;-7516402.91;-20674956.9
Warnings;DMSO;303.15;1;0.25;0.25;600;1;323.15;400;200;0.700292325;-15765268.7;-11271475
Warnings;DMSO;303.15;1;0.25;0.25;600;1;323.15;400;400;0.350146028;-15765227.2;-25129052.6
Warnings;DMSO;303.15;1;0.25;0.25;600;2;303.15;200;200;0.612677621;-7509904.89;-8292396.4
Warnings;DMSO;303.15;1;0.25;0.25;600;2;303.15;200;400;0.654846685;-7509920.61;-20677968.7
Warnings;DMSO;303.15;1;0.25;0.25;600;2;303.15;400;200;0.700294622;-15765271.4;-11271472.7
Warnings;DMSO;303.15;1;0.25;0.25;600;2;303.15;400;400;0.35014717;-15765230.9;-25129043.2
Warnings;DMSO;303.15;1;0.25;0.25;600;2;313.15;200;200;0.610273828;-7512996.52;-8288704.26
Warnings;DMSO;303.15;1;0.25;0.25;600;2;313.15;200;400;0.65362047;-7512995.31;-20676534.8
Warnings;DMSO;303.15;1;0.25;0.25;600;2;313.15;400;200;0.700293623;-15765277.7;-11271473.4
Warnings;DMSO;303.15;1;0.25;0.25;600;2;313.15;400;400;0.350146636;-15765228.3;-25129047.6
Warnings;DMSO;303.15;1;0.25;0.25;600;2;323.15;200;200;0.607658166;-7516445.56;-8284686.62
Warnings;DMSO;303.15;1;0.25;0.25;600;2;323.15;200;400;0.652275794;-7516402.91;-20674956.9
Warnings;DMSO;303.15;1;0.25;0.25;600;2;323.15;400;200;0.700292325;-15765268.7;-11271475
Warnings;DMSO;303.15;1;0.25;0.25;600;2;323.15;400;400;0.350146028;-15765227.2;-25129052.6
Warnings;DMSO;303.15;1;0.25;0.25;600;3;303.15;200;200;0.612677621;-7509904.89;-8292396.4
Warnings;DMSO;303.15;1;0.25;0.25;600;3;303.15;200;400;0.654846685;-7509920.61;-20677968.7
Warnings;DMSO;303.15;1;0.25;0.25;600;3;303.15;400;200;0.700294622;-15765271.4;-11271472.7
Warnings;DMSO;303.15;1;0.25;0.25;600;3;303.15;400;400;0.35014717;-15765230.9;-25129043.2
Warnings;DMSO;303.15;1;0.25;0.25;600;3;313.15;200;200;0.610273828;-7512996.52;-8288704.26
Warnings;DMSO;303.15;1;0.25;0.25;600;3;313.15;200;400;0.65362047;-7512995.31;-20676534.8
Warnings;DMSO;303.15;1;0.25;0.25;600;3;313.15;400;200;0.700293623;-15765277.7;-11271473.4
Warnings;DMSO;303.15;1;0.25;0.25;600;3;313.15;400;400;0.350146636;-15765228.3;-25129047.6
Warnings;DMSO;303.15;1;0.25;0.25;600;3;323.15;200;200;0.607658166;-7516445.56;-8284686.61
Warnings;DMSO;303.15;1;0.25;0.25;600;3;323.15;200;400;0.652275794;-7516402.91;-20674956.9
Warnings;DMSO;303.15;1;0.25;0.25;600;3;323.15;400;200;0.700292325;-15765268.7;-11271475
Warnings;DMSO;303.15;1;0.25;0.25;600;3;323.15;400;400;0.350146028;-15765227.2;-25129052.6
Warnings;DMSO;303.15;1;0.25;0.25;720;1;303.15;200;200;0.652488896;-7459518.79;-8353467.55
Warnings;DMSO;303.15;1;0.25;0.25;720;1;303.15;200;400;0.674691768;-7459512.65;-20700316.8
Warnings;DMSO;303.15;1;0.25;0.25;720;1;303.15;400;200;0.700333259;-15768825.8;-11271301.5
Warnings;DMSO;303.15;1;0.25;0.25;720;1;303.15;400;400;0.350166466;-15768782.8;-25128952.2
Warnings;DMSO;303.15;1;0.25;0.25;720;1;313.15;200;200;0.652367232;-7459680.4;-8353281.29
Warnings;DMSO;303.15;1;0.25;0.25;720;1;313.15;200;400;0.674629172;-7459674.74;-20700248.7
Warnings;DMSO;303.15;1;0.25;0.25;720;1;313.15;400;200;0.700332312;-15768799.5;-11271303.4
Warnings;DMSO;303.15;1;0.25;0.25;720;1;313.15;400;400;0.350166056;-15768769.7;-25128955.4
Warnings;DMSO;303.15;1;0.25;0.25;720;1;323.15;200;200;0.652169434;-7459947.55;-8352978.38
Warnings;DMSO;303.15;1;0.25;0.25;720;1;323.15;200;400;0.67452638;-7459938.88;-20700137.8
Warnings;DMSO;303.15;1;0.25;0.25;720;1;323.15;400;200;0.700331521;-15768801.1;-11271304
Warnings;DMSO;303.15;1;0.25;0.25;720;1;323.15;400;400;0.350165624;-15768763.1;-25128958.8
Warnings;DMSO;303.15;1;0.25;0.25;720;2;303.15;200;200;0.652487449;-7459523.56;-8353465.38
Warnings;DMSO;303.15;1;0.25;0.25;720;2;303.15;200;400;0.674691869;-7459512.07;-20700316.9
Warnings;DMSO;303.15;1;0.25;0.25;720;2;303.15;400;200;0.700333265;-15768826.5;-11271301.5
Warnings;DMSO;303.15;1;0.25;0.25;720;2;303.15;400;400;0.350166459;-15768781.4;-25128952.3
